"samplename"	"platform"	"label"	"obervations"	"batch"	"bigfamily"	"family"	"celltype"	"coarsegrain"	"finegrain"	"treatment"
"SAMN12838839"	"SAMN12838839"	"Illumina HiSeq 4000"	"CM.CD8 T cells.Lung"	"Lung"	"PRJNA574052"	"Immune"	"CD8"	"memory.CD8.T.cells"	"CD8.T.cells"	"memory.CD8.T.cells"	"no"
"SAMN12838842"	"SAMN12838842"	"Illumina HiSeq 4000"	"CM.CD8 T cells.LN"	"LN"	"PRJNA574052"	"Immune"	"CD8"	"memory.CD8.T.cells"	"CD8.T.cells"	"memory.CD8.T.cells"	"no"
"SAMN12838843"	"SAMN12838843"	"Illumina HiSeq 4000"	"CM.CD8 T cells.LN"	"LN"	"PRJNA574052"	"Immune"	"CD8"	"memory.CD8.T.cells"	"CD8.T.cells"	"memory.CD8.T.cells"	"no"
"SAMN12838852"	"SAMN12838852"	"Illumina HiSeq 4000"	"naive.CD8 T cells.Lung"	"Lung"	"PRJNA574052"	"Immune"	"CD8"	"naive.CD8.T.cells"	"CD8.T.cells"	"naive.CD8.T.cells"	"no"
"SAMN12838854"	"SAMN12838854"	"Illumina HiSeq 4000"	"naive.CD8 T cells.LN"	"LN"	"PRJNA574052"	"Immune"	"CD8"	"naive.CD8.T.cells"	"CD8.T.cells"	"naive.CD8.T.cells"	"no"
"SAMN12838856"	"SAMN12838856"	"Illumina HiSeq 4000"	"naive.CD8 T cells.Lung"	"Lung"	"PRJNA574052"	"Immune"	"CD8"	"naive.CD8.T.cells"	"CD8.T.cells"	"naive.CD8.T.cells"	"no"
"SAMN12838859"	"SAMN12838859"	"Illumina HiSeq 4000"	"naive.CD8 T cells.Lung"	"Lung"	"PRJNA574052"	"Immune"	"CD8"	"naive.CD8.T.cells"	"CD8.T.cells"	"naive.CD8.T.cells"	"no"
"SAMN12838862"	"SAMN12838862"	"Illumina HiSeq 4000"	"naive.CD8 T cells.Lung"	"Lung"	"PRJNA574052"	"Immune"	"CD8"	"naive.CD8.T.cells"	"CD8.T.cells"	"naive.CD8.T.cells"	"no"
"SAMN12838864"	"SAMN12838864"	"Illumina HiSeq 4000"	"naive.CD8 T cells.LN"	"LN"	"PRJNA574052"	"Immune"	"CD8"	"naive.CD8.T.cells"	"CD8.T.cells"	"naive.CD8.T.cells"	"no"
"SAMN12838866"	"SAMN12838866"	"Illumina HiSeq 4000"	"naive.CD8 T cells.Lung"	"Lung"	"PRJNA574052"	"Immune"	"CD8"	"naive.CD8.T.cells"	"CD8.T.cells"	"naive.CD8.T.cells"	"no"
"SAMN12838868"	"SAMN12838868"	"Illumina HiSeq 4000"	"naive.CD8 T cells.LN"	"LN"	"PRJNA574052"	"Immune"	"CD8"	"naive.CD8.T.cells"	"CD8.T.cells"	"naive.CD8.T.cells"	"no"
"SAMN12838870"	"SAMN12838870"	"Illumina HiSeq 4000"	"naive.CD8 T cells.Lung"	"Lung"	"PRJNA574052"	"Immune"	"CD8"	"naive.CD8.T.cells"	"CD8.T.cells"	"naive.CD8.T.cells"	"no"
"SAMN12838872"	"SAMN12838872"	"Illumina HiSeq 4000"	"naive.CD8 T cells.LN"	"LN"	"PRJNA574052"	"Immune"	"CD8"	"naive.CD8.T.cells"	"CD8.T.cells"	"naive.CD8.T.cells"	"no"
"SAMN12838874"	"SAMN12838874"	"Illumina HiSeq 4000"	"naive.CD8 T cells.Lung"	"Lung"	"PRJNA574052"	"Immune"	"CD8"	"naive.CD8.T.cells"	"CD8.T.cells"	"naive.CD8.T.cells"	"no"
"SAMN12838876"	"SAMN12838876"	"Illumina HiSeq 4000"	"naive.CD8 T cells.LN"	"LN"	"PRJNA574052"	"Immune"	"CD8"	"naive.CD8.T.cells"	"CD8.T.cells"	"naive.CD8.T.cells"	"no"
"SAMN12838878"	"SAMN12838878"	"Illumina HiSeq 4000"	"naive.CD8 T cells.Lung"	"Lung"	"PRJNA574052"	"Immune"	"CD8"	"naive.CD8.T.cells"	"CD8.T.cells"	"naive.CD8.T.cells"	"no"
"SAMN12838880"	"SAMN12838880"	"Illumina HiSeq 4000"	"naive.CD8 T cells.LN"	"LN"	"PRJNA574052"	"Immune"	"CD8"	"naive.CD8.T.cells"	"CD8.T.cells"	"naive.CD8.T.cells"	"no"
"SAMN12838884"	"SAMN12838884"	"Illumina HiSeq 4000"	"EM.CD8 T cells.LN"	"LN"	"PRJNA574052"	"Immune"	"CD8"	"memory.CD8.T.cells"	"CD8.T.cells"	"memory.CD8.T.cells"	"no"
"SAMN12838886"	"SAMN12838886"	"Illumina HiSeq 4000"	"EM.CD8 T cells.Lung"	"Lung"	"PRJNA574052"	"Immune"	"CD8"	"memory.CD8.T.cells"	"CD8.T.cells"	"memory.CD8.T.cells"	"no"
"SAMN12838893"	"SAMN12838893"	"Illumina HiSeq 4000"	"EM.CD8 T cells.Lung"	"Lung"	"PRJNA574052"	"Immune"	"CD8"	"memory.CD8.T.cells"	"CD8.T.cells"	"memory.CD8.T.cells"	"no"
"SAMN12838895"	"SAMN12838895"	"Illumina HiSeq 4000"	"EM.CD8 T cells.LN"	"LN"	"PRJNA574052"	"Immune"	"CD8"	"memory.CD8.T.cells"	"CD8.T.cells"	"memory.CD8.T.cells"	"no"
"SAMN12838904"	"SAMN12838904"	"Illumina HiSeq 4000"	"naive.CD8 T cells.LN"	"LN"	"PRJNA574052"	"Immune"	"CD8"	"naive.CD8.T.cells"	"CD8.T.cells"	"naive.CD8.T.cells"	"no"
"SAMN12838907"	"SAMN12838907"	"Illumina HiSeq 4000"	"naive.CD8 T cells.Lung"	"Lung"	"PRJNA574052"	"Immune"	"CD8"	"naive.CD8.T.cells"	"CD8.T.cells"	"naive.CD8.T.cells"	"no"
"SAMN12838908"	"SAMN12838908"	"Illumina HiSeq 4000"	"naive.CD8 T cells.LN"	"LN"	"PRJNA574052"	"Immune"	"CD8"	"naive.CD8.T.cells"	"CD8.T.cells"	"naive.CD8.T.cells"	"no"
"SAMN12838913"	"SAMN12838913"	"Illumina HiSeq 4000"	"EM.CD8 T cells.LN"	"LN"	"PRJNA574052"	"Immune"	"CD8"	"memory.CD8.T.cells"	"CD8.T.cells"	"memory.CD8.T.cells"	"no"
"SAMN12838916"	"SAMN12838916"	"Illumina HiSeq 4000"	"EM.CD8 T cells.LN"	"LN"	"PRJNA574052"	"Immune"	"CD8"	"memory.CD8.T.cells"	"CD8.T.cells"	"memory.CD8.T.cells"	"no"
"SAMN12838919"	"SAMN12838919"	"Illumina HiSeq 4000"	"EM.CD8 T cells.LN"	"LN"	"PRJNA574052"	"Immune"	"CD8"	"memory.CD8.T.cells"	"CD8.T.cells"	"memory.CD8.T.cells"	"no"
"SAMN12838924"	"SAMN12838924"	"Illumina HiSeq 4000"	"EM.CD8 T cells.Lung"	"Lung"	"PRJNA574052"	"Immune"	"CD8"	"memory.CD8.T.cells"	"CD8.T.cells"	"memory.CD8.T.cells"	"no"
"SRR452328"	"SRR452328"	"Illumina HiSeq 2000"	"M1 macrophages (classically activated)"	"no_treament"	"SRP012015"	"Immune"	"MYELOID"	"macrophages"	"monocytic.lineage"	"macrophages"	"no"
"SRR452329"	"SRR452329"	"Illumina HiSeq 2000"	"M1 macrophages (classically activated)"	"no_treament"	"SRP012015"	"Immune"	"MYELOID"	"macrophages"	"monocytic.lineage"	"macrophages"	"no"
"SRR452330"	"SRR452330"	"Illumina HiSeq 2000"	"M1 macrophages (classically activated)"	"no_treament"	"SRP012015"	"Immune"	"MYELOID"	"macrophages"	"monocytic.lineage"	"macrophages"	"no"
"SRR452331"	"SRR452331"	"Illumina HiSeq 2000"	"M2 macrophages (alternatively activated)"	"no_treament"	"SRP012015"	"Immune"	"MYELOID"	"macrophages"	"monocytic.lineage"	"macrophages"	"no"
"SRR452332"	"SRR452332"	"Illumina HiSeq 2000"	"M2 macrophages (alternatively activated)"	"no_treament"	"SRP012015"	"Immune"	"MYELOID"	"macrophages"	"monocytic.lineage"	"macrophages"	"no"
"SRR452333"	"SRR452333"	"Illumina HiSeq 2000"	"M2 macrophages (alternatively activated)"	"no_treament"	"SRP012015"	"Immune"	"MYELOID"	"macrophages"	"monocytic.lineage"	"macrophages"	"no"
"SRR1283038"	"SRR1283038"	"Illumina Genome Analyzer IIx"	"breast cancer"	"MDAMB453"	"SRP026537"	"Cancer"	"Breast"	"cancer"	"cancer"	"cancer"	"no"
"SRR925687"	"SRR925687"	"Illumina Genome Analyzer IIx"	"breast cancer"	"184A1"	"SRP026537"	"Cancer"	"Breast"	"cancer"	"cancer"	"cancer"	"no"
"SRR925688"	"SRR925688"	"Illumina Genome Analyzer IIx"	"breast cancer"	"184B5"	"SRP026537"	"Cancer"	"Breast"	"cancer"	"cancer"	"cancer"	"no"
"SRR925689"	"SRR925689"	"Illumina Genome Analyzer IIx"	"breast cancer"	"21MT1"	"SRP026537"	"Cancer"	"Breast"	"cancer"	"cancer"	"cancer"	"no"
"SRR925690"	"SRR925690"	"Illumina Genome Analyzer IIx"	"breast cancer"	"21MT2"	"SRP026537"	"Cancer"	"Breast"	"cancer"	"cancer"	"cancer"	"no"
"SRR925691"	"SRR925691"	"Illumina Genome Analyzer IIx"	"breast cancer"	"21NT"	"SRP026537"	"Cancer"	"Breast"	"cancer"	"cancer"	"cancer"	"no"
"SRR925692"	"SRR925692"	"Illumina Genome Analyzer IIx"	"breast cancer"	"21PT"	"SRP026537"	"Cancer"	"Breast"	"cancer"	"cancer"	"cancer"	"no"
"SRR925693"	"SRR925693"	"Illumina Genome Analyzer IIx"	"breast cancer"	"600MPE"	"SRP026537"	"Cancer"	"Breast"	"cancer"	"cancer"	"cancer"	"no"
"SRR925694"	"SRR925694"	"Illumina Genome Analyzer IIx"	"breast cancer"	"AU565"	"SRP026537"	"Cancer"	"Breast"	"cancer"	"cancer"	"cancer"	"no"
"SRR925695"	"SRR925695"	"Illumina Genome Analyzer IIx"	"breast cancer"	"BT474"	"SRP026537"	"Cancer"	"Breast"	"cancer"	"cancer"	"cancer"	"no"
"SRR925696"	"SRR925696"	"Illumina Genome Analyzer IIx"	"breast cancer"	"BT483"	"SRP026537"	"Cancer"	"Breast"	"cancer"	"cancer"	"cancer"	"no"
"SRR925697"	"SRR925697"	"Illumina Genome Analyzer IIx"	"breast cancer"	"BT549"	"SRP026537"	"Cancer"	"Breast"	"cancer"	"cancer"	"cancer"	"no"
"SRR925698"	"SRR925698"	"Illumina Genome Analyzer IIx"	"breast cancer"	"CAMA1"	"SRP026537"	"Cancer"	"Breast"	"cancer"	"cancer"	"cancer"	"no"
"SRR925699"	"SRR925699"	"Illumina Genome Analyzer IIx"	"breast cancer"	"EFM192A"	"SRP026537"	"Cancer"	"Breast"	"cancer"	"cancer"	"cancer"	"no"
"SRR925700"	"SRR925700"	"Illumina Genome Analyzer IIx"	"breast cancer"	"EFM192B"	"SRP026537"	"Cancer"	"Breast"	"cancer"	"cancer"	"cancer"	"no"
"SRR925701"	"SRR925701"	"Illumina Genome Analyzer IIx"	"breast cancer"	"EFM192C"	"SRP026537"	"Cancer"	"Breast"	"cancer"	"cancer"	"cancer"	"no"
"SRR925702"	"SRR925702"	"Illumina Genome Analyzer IIx"	"breast cancer"	"HCC1143"	"SRP026537"	"Cancer"	"Breast"	"cancer"	"cancer"	"cancer"	"no"
"SRR925703"	"SRR925703"	"Illumina Genome Analyzer IIx"	"breast cancer"	"HCC1395"	"SRP026537"	"Cancer"	"Breast"	"cancer"	"cancer"	"cancer"	"no"
"SRR925704"	"SRR925704"	"Illumina Genome Analyzer IIx"	"breast cancer"	"HCC1419"	"SRP026537"	"Cancer"	"Breast"	"cancer"	"cancer"	"cancer"	"no"
"SRR925705"	"SRR925705"	"Illumina Genome Analyzer IIx"	"breast cancer"	"HCC1428"	"SRP026537"	"Cancer"	"Breast"	"cancer"	"cancer"	"cancer"	"no"
"SRR925706"	"SRR925706"	"Illumina Genome Analyzer IIx"	"breast cancer"	"HCC1569"	"SRP026537"	"Cancer"	"Breast"	"cancer"	"cancer"	"cancer"	"no"
"SRR925707"	"SRR925707"	"Illumina Genome Analyzer IIx"	"breast cancer"	"HCC1599"	"SRP026537"	"Cancer"	"Breast"	"cancer"	"cancer"	"cancer"	"no"
"SRR925708"	"SRR925708"	"Illumina Genome Analyzer IIx"	"breast cancer"	"HCC1806"	"SRP026537"	"Cancer"	"Breast"	"cancer"	"cancer"	"cancer"	"no"
"SRR925709"	"SRR925709"	"Illumina Genome Analyzer IIx"	"breast cancer"	"HCC1937"	"SRP026537"	"Cancer"	"Breast"	"cancer"	"cancer"	"cancer"	"no"
"SRR925710"	"SRR925710"	"Illumina Genome Analyzer IIx"	"breast cancer"	"HCC1954"	"SRP026537"	"Cancer"	"Breast"	"cancer"	"cancer"	"cancer"	"no"
"SRR925713"	"SRR925713"	"Illumina Genome Analyzer IIx"	"breast cancer"	"HCC3153"	"SRP026537"	"Cancer"	"Breast"	"cancer"	"cancer"	"cancer"	"no"
"SRR925714"	"SRR925714"	"Illumina Genome Analyzer IIx"	"breast cancer"	"HCC38"	"SRP026537"	"Cancer"	"Breast"	"cancer"	"cancer"	"cancer"	"no"
"SRR925715"	"SRR925715"	"Illumina Genome Analyzer IIx"	"breast cancer"	"HCC70"	"SRP026537"	"Cancer"	"Breast"	"cancer"	"cancer"	"cancer"	"no"
"SRR925716"	"SRR925716"	"Illumina Genome Analyzer IIx"	"breast cancer"	"HS578T"	"SRP026537"	"Cancer"	"Breast"	"cancer"	"cancer"	"cancer"	"no"
"SRR925717"	"SRR925717"	"Illumina Genome Analyzer IIx"	"breast cancer"	"JIMT1"	"SRP026537"	"Cancer"	"Breast"	"cancer"	"cancer"	"cancer"	"no"
"SRR925718"	"SRR925718"	"Illumina Genome Analyzer IIx"	"breast cancer"	"LY2"	"SRP026537"	"Cancer"	"Breast"	"cancer"	"cancer"	"cancer"	"no"
"SRR925719"	"SRR925719"	"Illumina Genome Analyzer IIx"	"breast cancer"	"MB157"	"SRP026537"	"Cancer"	"Breast"	"cancer"	"cancer"	"cancer"	"no"
"SRR925720"	"SRR925720"	"Illumina Genome Analyzer IIx"	"breast cancer"	"MCF10A"	"SRP026537"	"Cancer"	"Breast"	"cancer"	"cancer"	"cancer"	"no"
"SRR925721"	"SRR925721"	"Illumina Genome Analyzer IIx"	"breast cancer"	"MCF10F"	"SRP026537"	"Cancer"	"Breast"	"cancer"	"cancer"	"cancer"	"no"
"SRR925723"	"SRR925723"	"Illumina Genome Analyzer IIx"	"breast cancer"	"MCF7"	"SRP026537"	"Cancer"	"Breast"	"cancer"	"cancer"	"cancer"	"no"
"SRR925724"	"SRR925724"	"Illumina Genome Analyzer IIx"	"breast cancer"	"MDAMB134VI"	"SRP026537"	"Cancer"	"Breast"	"cancer"	"cancer"	"cancer"	"no"
"SRR925725"	"SRR925725"	"Illumina Genome Analyzer IIx"	"breast cancer"	"MDAMB175"	"SRP026537"	"Cancer"	"Breast"	"cancer"	"cancer"	"cancer"	"no"
"SRR925726"	"SRR925726"	"Illumina Genome Analyzer IIx"	"breast cancer"	"MDAMB231"	"SRP026537"	"Cancer"	"Breast"	"cancer"	"cancer"	"cancer"	"no"
"SRR925727"	"SRR925727"	"Illumina Genome Analyzer IIx"	"breast cancer"	"MDAMB361"	"SRP026537"	"Cancer"	"Breast"	"cancer"	"cancer"	"cancer"	"no"
"SRR925728"	"SRR925728"	"Illumina Genome Analyzer IIx"	"breast cancer"	"MX1"	"SRP026537"	"Cancer"	"Breast"	"cancer"	"cancer"	"cancer"	"no"
"SRR925729"	"SRR925729"	"Illumina Genome Analyzer IIx"	"breast cancer"	"SKBR3"	"SRP026537"	"Cancer"	"Breast"	"cancer"	"cancer"	"cancer"	"no"
"SRR925734"	"SRR925734"	"Illumina Genome Analyzer IIx"	"breast cancer"	"SUM229PE"	"SRP026537"	"Cancer"	"Breast"	"cancer"	"cancer"	"cancer"	"no"
"SRR925735"	"SRR925735"	"Illumina Genome Analyzer IIx"	"breast cancer"	"SUM52PE"	"SRP026537"	"Cancer"	"Breast"	"cancer"	"cancer"	"cancer"	"no"
"SRR925736"	"SRR925736"	"Illumina Genome Analyzer IIx"	"breast cancer"	"T47D"	"SRP026537"	"Cancer"	"Breast"	"cancer"	"cancer"	"cancer"	"no"
"SRR925737"	"SRR925737"	"Illumina Genome Analyzer IIx"	"breast cancer"	"T47D Kbluc"	"SRP026537"	"Cancer"	"Breast"	"cancer"	"cancer"	"cancer"	"no"
"SRR925740"	"SRR925740"	"Illumina Genome Analyzer IIx"	"breast cancer"	"ZR751"	"SRP026537"	"Cancer"	"Breast"	"cancer"	"cancer"	"cancer"	"no"
"SRR925741"	"SRR925741"	"Illumina Genome Analyzer IIx"	"breast cancer"	"ZR7530"	"SRP026537"	"Cancer"	"Breast"	"cancer"	"cancer"	"cancer"	"no"
"SRR925742"	"SRR925742"	"Illumina Genome Analyzer IIx"	"breast cancer"	"ZR75B"	"SRP026537"	"Cancer"	"Breast"	"cancer"	"cancer"	"cancer"	"no"
"SRR934631"	"SRR934631"	"Illumina Genome Analyzer IIx"	"breast cancer"	"HCC2218"	"SRP026537"	"Cancer"	"Breast"	"cancer"	"cancer"	"cancer"	"no"
"SRR934632"	"SRR934632"	"Illumina Genome Analyzer IIx"	"breast cancer"	"HCC2218"	"SRP026537"	"Cancer"	"Breast"	"cancer"	"cancer"	"cancer"	"no"
"SRR934633"	"SRR934633"	"Illumina Genome Analyzer IIx"	"breast cancer"	"HCC2218"	"SRP026537"	"Cancer"	"Breast"	"cancer"	"cancer"	"cancer"	"no"
"SRR934634"	"SRR934634"	"Illumina Genome Analyzer IIx"	"breast cancer"	"MCF12A"	"SRP026537"	"Cancer"	"Breast"	"cancer"	"cancer"	"cancer"	"no"
"SRR934635"	"SRR934635"	"Illumina Genome Analyzer IIx"	"breast cancer"	"MCF12A"	"SRP026537"	"Cancer"	"Breast"	"cancer"	"cancer"	"cancer"	"no"
"SRR934636"	"SRR934636"	"Illumina Genome Analyzer IIx"	"breast cancer"	"SUM1315"	"SRP026537"	"Cancer"	"Breast"	"cancer"	"cancer"	"cancer"	"no"
"SRR934637"	"SRR934637"	"Illumina Genome Analyzer IIx"	"breast cancer"	"SUM1315"	"SRP026537"	"Cancer"	"Breast"	"cancer"	"cancer"	"cancer"	"no"
"SRR934638"	"SRR934638"	"Illumina Genome Analyzer IIx"	"breast cancer"	"SUM149PT"	"SRP026537"	"Cancer"	"Breast"	"cancer"	"cancer"	"cancer"	"no"
"SRR934639"	"SRR934639"	"Illumina Genome Analyzer IIx"	"breast cancer"	"SUM149PT"	"SRP026537"	"Cancer"	"Breast"	"cancer"	"cancer"	"cancer"	"no"
"SRR934640"	"SRR934640"	"Illumina Genome Analyzer IIx"	"breast cancer"	"SUM225CWN"	"SRP026537"	"Cancer"	"Breast"	"cancer"	"cancer"	"cancer"	"no"
"SRR934641"	"SRR934641"	"Illumina Genome Analyzer IIx"	"breast cancer"	"SUM225CWN"	"SRP026537"	"Cancer"	"Breast"	"cancer"	"cancer"	"cancer"	"no"
"SRR934642"	"SRR934642"	"Illumina Genome Analyzer IIx"	"breast cancer"	"UACC812"	"SRP026537"	"Cancer"	"Breast"	"cancer"	"cancer"	"cancer"	"no"
"SRR934643"	"SRR934643"	"Illumina Genome Analyzer IIx"	"breast cancer"	"UACC812"	"SRP026537"	"Cancer"	"Breast"	"cancer"	"cancer"	"cancer"	"no"
"SRR934644"	"SRR934644"	"Illumina Genome Analyzer IIx"	"breast cancer"	"UACC893"	"SRP026537"	"Cancer"	"Breast"	"cancer"	"cancer"	"cancer"	"no"
"SRR934645"	"SRR934645"	"Illumina Genome Analyzer IIx"	"breast cancer"	"UACC893"	"SRP026537"	"Cancer"	"Breast"	"cancer"	"cancer"	"cancer"	"no"
"SRR1014762"	"SRR1014762"	"Illumina HiSeq 2000"	"primary skin fibroblast_early timepoint"	"no_treament"	"SRP031776"	"Stromal"	"Mesenchimal"	"fibroblasts"	"fibroblasts"	"fibroblasts"	"no"
"SRR1014763"	"SRR1014763"	"Illumina HiSeq 2000"	"primary skin fibroblast_early timepoint"	"no_treament"	"SRP031776"	"Stromal"	"Mesenchimal"	"fibroblasts"	"fibroblasts"	"fibroblasts"	"no"
"SRR1014764"	"SRR1014764"	"Illumina HiSeq 2000"	"primary skin fibroblast_early timepoint"	"no_treament"	"SRP031776"	"Stromal"	"Mesenchimal"	"fibroblasts"	"fibroblasts"	"fibroblasts"	"no"
"SRR1014765"	"SRR1014765"	"Illumina HiSeq 2000"	"primary skin fibroblast_early timepoint"	"no_treament"	"SRP031776"	"Stromal"	"Mesenchimal"	"fibroblasts"	"fibroblasts"	"fibroblasts"	"no"
"SRR1014766"	"SRR1014766"	"Illumina HiSeq 2000"	"primary skin fibroblast_early timepoint"	"no_treament"	"SRP031776"	"Stromal"	"Mesenchimal"	"fibroblasts"	"fibroblasts"	"fibroblasts"	"no"
"SRR1014767"	"SRR1014767"	"Illumina HiSeq 2000"	"primary skin fibroblast_early timepoint"	"no_treament"	"SRP031776"	"Stromal"	"Mesenchimal"	"fibroblasts"	"fibroblasts"	"fibroblasts"	"no"
"SRR1014772"	"SRR1014772"	"Illumina HiSeq 2000"	"primary skin fibroblast_late timepoint"	"no_treament"	"SRP031776"	"Stromal"	"Mesenchimal"	"fibroblasts"	"fibroblasts"	"fibroblasts"	"no"
"SRR1014773"	"SRR1014773"	"Illumina HiSeq 2000"	"primary skin fibroblast_late timepoint"	"no_treament"	"SRP031776"	"Stromal"	"Mesenchimal"	"fibroblasts"	"fibroblasts"	"fibroblasts"	"no"
"SRR1014774"	"SRR1014774"	"Illumina HiSeq 2000"	"primary skin fibroblast_late timepoint"	"no_treament"	"SRP031776"	"Stromal"	"Mesenchimal"	"fibroblasts"	"fibroblasts"	"fibroblasts"	"no"
"SRR1014775"	"SRR1014775"	"Illumina HiSeq 2000"	"primary skin fibroblast_late timepoint"	"no_treament"	"SRP031776"	"Stromal"	"Mesenchimal"	"fibroblasts"	"fibroblasts"	"fibroblasts"	"no"
"SRR1014776"	"SRR1014776"	"Illumina HiSeq 2000"	"primary skin fibroblast_late timepoint"	"no_treament"	"SRP031776"	"Stromal"	"Mesenchimal"	"fibroblasts"	"fibroblasts"	"fibroblasts"	"no"
"SRR1014777"	"SRR1014777"	"Illumina HiSeq 2000"	"primary skin fibroblast_late timepoint"	"no_treament"	"SRP031776"	"Stromal"	"Mesenchimal"	"fibroblasts"	"fibroblasts"	"fibroblasts"	"no"
"SRR1531322"	"SRR1531322"	"Illumina Genome Analyzer IIx"	"memory CD4T"	"None"	"SRP045052"	"Immune"	"CD4"	"memory.CD4.T.cells"	"CD4.T.cells"	"memory.CD4.T.cells"	"no"
"SRR1531323"	"SRR1531323"	"Illumina Genome Analyzer IIx"	"memory CD4T"	"None"	"SRP045052"	"Immune"	"CD4"	"memory.CD4.T.cells"	"CD4.T.cells"	"memory.CD4.T.cells"	"no"
"SRR1976436"	"SRR1976436"	"Illumina HiSeq 2500"	"endothelial"	"control HUVEC"	"SRP057251"	"Stromal"	"Endothelial"	"endothelial.cells"	"endothelial.cells"	"endothelial.cells"	"no"
"SRR1976437"	"SRR1976437"	"Illumina HiSeq 2500"	"endothelial"	"control HUVEC"	"SRP057251"	"Stromal"	"Endothelial"	"endothelial.cells"	"endothelial.cells"	"endothelial.cells"	"no"
"SRR1976438"	"SRR1976438"	"Illumina HiSeq 2500"	"endothelial"	"control HUVEC"	"SRP057251"	"Stromal"	"Endothelial"	"endothelial.cells"	"endothelial.cells"	"endothelial.cells"	"no"
"SRR1976427"	"SRR1976427"	"Illumina HiSeq 2500"	"fibroblasts"	"Colon Normal Fibroblasts"	"SRP057251"	"Stromal"	"Mesenchimal"	"fibroblasts"	"fibroblasts"	"fibroblasts"	"no"
"SRR1976428"	"SRR1976428"	"Illumina HiSeq 2500"	"fibroblasts"	"Colon Normal Fibroblasts"	"SRP057251"	"Stromal"	"Mesenchimal"	"fibroblasts"	"fibroblasts"	"fibroblasts"	"no"
"SRR1976429"	"SRR1976429"	"Illumina HiSeq 2500"	"fibroblasts"	"Colon Normal Fibroblasts"	"SRP057251"	"Stromal"	"Mesenchimal"	"fibroblasts"	"fibroblasts"	"fibroblasts"	"no"
"SRR1976430"	"SRR1976430"	"Illumina HiSeq 2500"	"fibroblasts"	"Colon Tumor Fibroblasts"	"SRP057251"	"Stromal"	"Mesenchimal"	"fibroblasts"	"fibroblasts"	"fibroblasts"	"no"
"SRR1976431"	"SRR1976431"	"Illumina HiSeq 2500"	"fibroblasts"	"Colon Tumor Fibroblasts"	"SRP057251"	"Stromal"	"Mesenchimal"	"fibroblasts"	"fibroblasts"	"fibroblasts"	"no"
"SRR1976432"	"SRR1976432"	"Illumina HiSeq 2500"	"fibroblasts"	"Colon Tumor Fibroblasts"	"SRP057251"	"Stromal"	"Mesenchimal"	"fibroblasts"	"fibroblasts"	"fibroblasts"	"no"
"SRR1976433"	"SRR1976433"	"Illumina HiSeq 2500"	"fibroblasts"	"Dermal Normal Fibroblasts"	"SRP057251"	"Stromal"	"Mesenchimal"	"fibroblasts"	"fibroblasts"	"fibroblasts"	"no"
"SRR1976434"	"SRR1976434"	"Illumina HiSeq 2500"	"fibroblasts"	"Dermal Normal Fibroblasts"	"SRP057251"	"Stromal"	"Mesenchimal"	"fibroblasts"	"fibroblasts"	"fibroblasts"	"no"
"SRR1976435"	"SRR1976435"	"Illumina HiSeq 2500"	"fibroblasts"	"Dermal Normal Fibroblasts"	"SRP057251"	"Stromal"	"Mesenchimal"	"fibroblasts"	"fibroblasts"	"fibroblasts"	"no"
"SRR5145524"	"SRR5145524"	"Illumina HiSeq 2000"	"Macrophage"	"no_treament"	"SRP096073"	"Immune"	"MYELOID"	"macrophages"	"monocytic.lineage"	"macrophages"	"no"
"SRR5145525"	"SRR5145525"	"Illumina HiSeq 2000"	"Macrophage"	"no_treament"	"SRP096073"	"Immune"	"MYELOID"	"macrophages"	"monocytic.lineage"	"macrophages"	"no"
"SRR5145526"	"SRR5145526"	"Illumina HiSeq 2000"	"Macrophage"	"no_treament"	"SRP096073"	"Immune"	"MYELOID"	"macrophages"	"monocytic.lineage"	"macrophages"	"no"
"SRR5145527"	"SRR5145527"	"Illumina HiSeq 2000"	"Macrophage"	"no_treament"	"SRP096073"	"Immune"	"MYELOID"	"macrophages"	"monocytic.lineage"	"macrophages"	"no"
"SRR5145528"	"SRR5145528"	"Illumina HiSeq 2000"	"Macrophage"	"no_treament"	"SRP096073"	"Immune"	"MYELOID"	"macrophages"	"monocytic.lineage"	"macrophages"	"no"
"SRR5145529"	"SRR5145529"	"Illumina HiSeq 2000"	"Macrophage"	"no_treament"	"SRP096073"	"Immune"	"MYELOID"	"macrophages"	"monocytic.lineage"	"macrophages"	"no"
"SRR5145530"	"SRR5145530"	"Illumina HiSeq 2000"	"Macrophage"	"no_treament"	"SRP096073"	"Immune"	"MYELOID"	"macrophages"	"monocytic.lineage"	"macrophages"	"no"
"SRR5145531"	"SRR5145531"	"Illumina HiSeq 2000"	"Macrophage"	"no_treament"	"SRP096073"	"Immune"	"MYELOID"	"macrophages"	"monocytic.lineage"	"macrophages"	"no"
"SRR5145532"	"SRR5145532"	"Illumina HiSeq 2000"	"Macrophage"	"no_treament"	"SRP096073"	"Immune"	"MYELOID"	"macrophages"	"monocytic.lineage"	"macrophages"	"no"
"SAMN07173078"	"SAMN07173078"	"Illumina HiSeq 2500"	"Memory CD3+CD4+ T cells"	"Healthy"	"SRP108135"	"Immune"	"CD4"	"memory.CD4.T.cells"	"CD4.T.cells"	"memory.CD4.T.cells"	"no"
